City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Dom Pedrito,BR,2022-05-08 22:52:12,-30.9828,-54.6731,58.06,91,0,4.16
155,Boksburg,ZA,2022-05-08 22:52:13,-26.212,28.2596,49.91,75,12,6.87
156,Harper,LR,2022-05-08 22:52:13,4.375,-7.7169,79.34,85,100,3.89
157,Faanui,PF,2022-05-08 22:52:14,-16.4833,-151.75,82.44,75,5,12.37
158,Rio Grande,BR,2022-05-08 22:52:15,-32.035,-52.0986,60.94,84,0,9.69
159,Oda,JP,2022-05-08 22:52:15,35.1833,132.5,56.17,67,100,13.96
160,Kaitangata,NZ,2022-05-08 22:52:16,-46.2817,169.8464,53.85,88,91,2.53
161,Suntar,RU,2022-05-08 22:52:16,62.1444,117.6319,34.47,83,77,10.56
162,Sovetskiy,RU,2022-05-08 22:52:17,61.3614,63.5842,43.45,79,10,5.86
163,Jitra,MY,2022-05-08 22:52:17,6.2681,100.4217,76.91,100,20,2.3
164,Hasaki,JP,2022-05-08 22:51:10,35.7333,140.8333,61.29,56,100,11.74
165,Mahebourg,MU,2022-05-08 22:52:18,-20.4081,57.7,72.25,88,20,4.61
166,Kouango,CF,2022-05-08 22:52:19,4.9934,19.9619,75.18,80,100,1.81
167,Bonthe,SL,2022-05-08 22:52:20,7.5264,-12.505,78.37,84,100,5.14
168,Sitka,US,2022-05-08 22:52:20,57.0531,-135.33,53.49,62,20,20.71
169,Nalut,LY,2022-05-08 22:52:21,30.3333,10.85,64.67,45,0,11.32
170,Gandajika,CD,2022-05-08 22:52:21,-6.75,23.95,70.34,72,100,2.84
171,Alta Floresta,BR,2022-05-08 22:49:02,-9.8756,-56.0861,77.5,77,69,1.61
172,Kobelyaky,UA,2022-05-08 22:52:22,49.1489,34.1965,51.98,59,34,6.13
173,Yaan,NG,2022-05-08 22:52:23,7.3833,8.5667,80.98,73,85,9.17
174,Georgetown,MY,2022-05-08 22:50:13,5.4112,100.3354,82.33,92,20,5.99
175,Carauari,BR,2022-05-08 22:50:57,-4.8828,-66.8958,74.21,97,32,2.57
176,Geraldton,AU,2022-05-08 22:50:15,-28.7667,114.6,54.01,82,0,6.91
177,Kodiak,US,2022-05-08 22:52:24,57.79,-152.4072,49.51,40,0,18.41
178,Oranjemund,NA,2022-05-08 22:52:25,-28.55,16.4333,55.71,77,66,9.51
179,Melilla,ES,2022-05-08 22:52:25,35.2937,-2.9383,61.18,67,0,2.3
180,Nova Odesa,UA,2022-05-08 22:52:26,47.3078,31.7851,50.79,48,9,7.94
181,Kokoda,PG,2022-05-08 22:52:26,-8.8785,147.7407,83.34,70,67,4.63
182,Ust-Nera,RU,2022-05-08 22:52:27,64.5667,143.2,31.14,77,99,4.68
183,Bandarbeyla,SO,2022-05-08 22:52:27,9.4942,50.8122,82.22,84,12,9.37
184,Hithadhoo,MV,2022-05-08 22:53:28,-0.6,73.0833,79.75,87,100,20.15
185,Okhotsk,RU,2022-05-08 22:53:29,59.3833,143.3,37.11,79,32,2.71
186,Isla Mujeres,MX,2022-05-08 22:53:29,21.2311,-86.731,86.16,79,0,13.18
187,Hutchinson,US,2022-05-08 22:53:30,38.0608,-97.9298,88.03,57,48,3.0
188,Flinders,AU,2022-05-08 22:53:30,-34.5833,150.8552,59.18,88,92,5.99
189,Touros,BR,2022-05-08 22:53:16,-5.1989,-35.4608,79.59,83,100,14.07
190,Kavaratti,IN,2022-05-08 22:53:31,10.5669,72.642,85.44,66,98,15.66
191,Los Llanos De Aridane,ES,2022-05-08 22:53:32,28.6585,-17.9182,62.35,72,0,11.5
192,Alofi,NU,2022-05-08 22:50:41,-19.0595,-169.9187,75.09,94,84,10.36
193,Yorosso,ML,2022-05-08 22:53:33,12.3536,-4.7761,87.78,38,98,7.78
194,Sungaipenuh,ID,2022-05-08 22:53:33,-2.0833,101.3833,65.66,89,97,1.32
195,Barrow,US,2022-05-08 22:53:34,71.2906,-156.7887,29.95,86,60,9.51
