City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Kerrobert,51.9168,-109.1348,42.85,59,95,5.41
273,Mendi,-6.1761,143.6513,68.68,82,66,3.8
274,Kittery,43.0881,-70.7362,44.15,71,75,4.61
275,Anderson,34.5334,-82.6499,60.21,70,100,13.8
276,Stepantsevo,56.1314,41.7032,44.08,94,100,8.5
277,Davila,18.4726,120.5763,89.58,67,77,5.97
278,Portlethen,57.0547,-2.1307,51.94,95,100,12.66
279,Upernavik,72.7868,-56.1549,5.85,76,18,5.3
280,Sao Filipe,14.8961,-24.4956,70.63,81,5,11.92
281,Hambantota,6.1241,81.1185,86.67,71,99,22.01
282,Decatur,39.8403,-88.9548,64.15,77,40,11.5
283,Aswan,24.0934,32.907,81.48,15,65,5.57
284,Ventanas,-1.45,-79.4667,75.09,90,73,1.81
285,Rurrenabaque,-14.4413,-67.5278,70.03,86,46,1.48
286,Chizhou,30.6578,117.4831,61.92,82,100,7.92
287,Giyani,-23.3025,30.7187,61.7,86,55,6.08
288,Palu,-0.8917,119.8707,84.9,87,100,3.76
289,Gushi,34.6425,109.5843,52.54,86,100,6.42
290,Sur,22.5667,59.5289,93.36,32,0,6.42
291,Necochea,-38.5473,-58.7368,57.09,78,84,8.08
292,Jieshou,33.2634,115.3611,60.4,41,100,11.1
293,Mahibadhoo,3.7833,72.9667,83.25,79,98,18.21
294,Yelizovo,53.1873,158.3805,41.14,86,75,18.01
295,Denpasar,-8.65,115.2167,89.26,74,20,10.36
296,Pavilosta,56.8879,21.1859,28.31,59,53,3.18
297,Healdsburg,38.6105,-122.8692,51.06,66,0,8.05
298,Broken Hill,-31.95,141.4333,60.96,41,36,11.72
299,Laguna,38.421,-121.4238,54.01,48,0,5.75
300,Sasvad,18.3333,74.0333,87.31,34,97,13.18
301,Camabatela,-8.1881,15.375,63.12,84,7,3.44
302,Riyadh,24.6877,46.7219,75.34,20,0,6.17
303,Gerash,27.6652,54.1371,77.14,10,0,10.56
304,Port-Gentil,-0.7193,8.7815,80.46,84,100,11.03
305,Sibolga,1.7427,98.7792,86.94,63,96,3.44
306,Opuwo,-18.0607,13.84,60.58,46,0,3.38
307,Richards Bay,-28.783,32.0377,62.37,84,45,7.07
308,Atar,20.5169,-13.0499,87.82,23,86,7.96
309,Tura,25.5198,90.2201,89.74,46,11,1.72
310,Bronnoysund,65.4625,12.1997,39.2,93,75,20.0
311,Henties Bay,-22.116,14.2845,58.21,78,0,4.9
312,Champerico,14.3,-91.9167,83.91,75,99,5.3
313,Gornopravdinsk,60.05,69.9,55.78,67,63,6.06
314,Rawlins,41.7911,-107.2387,35.35,93,100,6.91
315,Naze,28.3667,129.4833,79.72,81,95,4.23
316,Mehamn,71.0357,27.8492,33.75,80,40,10.36
317,Polunochnoye,60.8697,60.4153,56.46,46,10,6.44
318,Garissa,-0.4536,39.6401,77.63,69,34,12.71
319,Longyearbyen,78.2186,15.6401,10.8,78,53,9.8
320,Tarakan,3.3,117.6333,80.1,89,75,2.3
321,Ilulissat,69.2167,-51.1,7.0,97,20,7.76
322,Floro,61.5996,5.0328,48.96,53,0,13.8
323,Yanam,16.7333,82.2167,89.64,56,100,11.54
324,Airai,-8.9266,125.4092,73.9,56,18,5.57
325,Kavieng,-2.5744,150.7967,85.66,66,97,17.09
326,Vysokogornyy,50.1167,139.15,46.49,63,93,14.67
327,Jieshi,22.8134,115.8257,75.47,77,99,8.19
328,Yurino,56.2942,46.3039,52.48,60,52,11.39
329,Alepe,5.5004,-3.6631,82.27,96,76,1.61
330,Malampaka,-3.1333,33.5333,63.14,79,99,4.25
331,Kaitangata,-46.2817,169.8464,53.01,94,99,7.02
332,Terney,45.0503,136.6092,62.22,30,57,11.5
333,Skjervoy,70.0311,20.9714,33.8,72,100,17.47
334,Deputatskiy,69.3,139.9,22.95,92,100,4.27
335,Ketchikan,55.3422,-131.6461,55.87,47,20,4.61
336,Sazonovo,59.0919,35.2268,37.45,80,87,7.61
337,Leningradskiy,69.3833,178.4167,29.3,88,100,17.47
338,Nuristan,35.3,70.8333,51.66,31,0,3.18
